PROPNAME of PROPNAME/[0,3]|name|-- / --|? /[3,4]|punct|1
top/top|top|top/hd|PROPNAME of PROPNAME/[0,3]|name|1
? /[3,4]|punct|-- / --|PROPNAME of PROPNAME/[0,3]|name|1
top/top|top|top/hd|? /[3,4]|punct|1
ben/[1,2]|verb|-- / --|./[17,18]|punct|1
ben/[1,2]|verb|-- / --|aanraking/[9,10]|noun|1
ben/[1,2]|verb|-- / --|in/[8,9]|verb|1
ben/[1,2]|verb|-- / --|kom/[10,11]|verb|1
ben/[1,2]|verb|-- / --|met/[7,8]|prep|1
ben/[1,2]|verb|dp/dp|bij/[11,12]|prep|1
ben/[1,2]|verb|hd/obj2|dilemma/[3,4]|noun|1
ben/[1,2]|verb|hd/predc|mens/[6,7]|noun|1
ben/[1,2]|verb|hd/su|dat/[0,1]|det|1
bij/[11,12]|prep|hd/obj1|kies/[13,14]|verb|1
dilemma/[3,4]|noun|hd/det|het/[2,3]|det|1
dilemma/[3,4]|noun|hd/mod|waar/[4,5]|adv|1
kies/[13,14]|verb|hd/det|het/[12,13]|det|1
kies/[13,14]|verb|hd/mod|van/[14,15]|prep|1
mens/[6,7]|noun|hd/det|veel/[5,6]|adj|1
smartphone/[16,17]|noun|hd/det|een/[15,16]|det|1
top/top|top|top/hd|ben/[1,2]|verb|1
van/[14,15]|prep|hd/obj1|smartphone/[16,17]|noun|1
ben/[11,12]|verb|hd/mod|er/[7,8]|adv|1
ben/[11,12]|verb|hd/mod|meer/[10,11]|adj|1
ben/[11,12]|verb|hd/mod|met/[0,1]|prep|1
ben/[11,12]|verb|hd/su|twijfel/[9,10]|noun|1
en/[12,13]|vg|-- / --|./[22,23]|punct|1
en/[12,13]|vg|crd/cnj|zal/[6,7]|verb|1
en/[12,13]|vg|crd/cnj|zal/[13,14]|verb|1
ga_uit/[17,18]|verb|hd/ld|naar/[18,19]|prep|1
ga_uit/[17,18]|verb|hd/mod|grotendeels/[16,17]|adv|1
ga_uit/[17,18]|verb|hd/mod|met/[0,1]|prep|1
ga_uit/[17,18]|verb|hd/su|keuze/[15,16]|noun|1
keuze/[15,16]|noun|hd/det|de/[14,15]|det|1
komst/[2,3]|noun|hd/det|de/[1,2]|det|1
komst/[2,3]|noun|hd/mod|van/[3,4]|prep|1
met/[0,1]|prep|hd/obj1|komst/[2,3]|noun|1
