PROPNAME, Burgerking of PROPNAME meer,/[3,8]|name|hd/det|geen/[2,3]|det|1
geef/[8,9]|verb|hd/mod|maar/[10,11]|adv|1
geef/[8,9]|verb|hd/obj1|PROPNAME/[11,12]|name|1
geef/[8,9]|verb|hd/obj2|mij/[9,10]|pron|1
top/top|top|top/hd|voor/[0,1]|prep|1
voor/[0,1]|prep|-- / --|./[12,13]|punct|1
voor/[0,1]|prep|dp/dp|PROPNAME, Burgerking of PROPNAME meer,/[3,8]|name|1
voor/[0,1]|prep|dp/dp|geef/[8,9]|verb|1
voor/[0,1]|prep|hd/obj1|mij/[1,2]|pron|1
eet/[11,12]|verb|hd/det|geen/[9,10]|det|1
eet/[11,12]|verb|hd/mod|vettig/[10,11]|adj|1
krijg/[6,7]|verb|-- / --|./[15,16]|punct|1
krijg/[6,7]|verb|hd/ld|hier/[8,9]|adv|1
krijg/[6,7]|verb|hd/mod|zoals/[0,1]|comp|1
krijg/[6,7]|verb|hd/obj1|maar/[12,13]|vg|1
krijg/[6,7]|verb|hd/su|je/[7,8]|pron|1
maaltijd/[14,15]|noun|hd/det|geen/[9,10]|det|1
maaltijd/[14,15]|noun|hd/mod|gezond/[13,14]|adj|1
maar/[12,13]|vg|crd/cnj|eet/[11,12]|verb|1
maar/[12,13]|vg|crd/cnj|maaltijd/[14,15]|noun|1
naam/[2,3]|noun|hd/det|de/[1,2]|det|1
top/top|top|top/hd|krijg/[6,7]|verb|1
zeg/[5,6]|verb|hd/mod|al/[4,5]|adv|1
zeg/[5,6]|verb|hd/predm|zelf/[3,4]|adv|1
zeg/[5,6]|verb|hd/su|naam/[2,3]|noun|1
zoals/[0,1]|comp|cmp/body|zeg/[5,6]|verb|1
ben/[8,9]|verb|hd/mod|volgens/[0,1]|prep|1
ben/[8,9]|verb|hd/mod|zelfs/[3,4]|adv|1
ben/[8,9]|verb|hd/predc|gezond/[7,8]|adj|1
ben/[8,9]|verb|hd/su|en/[5,6]|vg|1
en/[5,6]|vg|crd/cnj|friet/[6,7]|noun|1
en/[5,6]|vg|crd/cnj|hamburger/[4,5]|noun|1
kan/[2,3]|verb|-- / --|./[9,10]|punct|1
kan/[2,3]|verb|hd/su|en/[5,6]|vg|1
kan/[2,3]|verb|hd/vc|ben/[8,9]|verb|1
top/top|top|top/hd|kan/[2,3]|verb|1
volgens/[0,1]|prep|hd/obj1|PROPNAME/[1,2]|name|1
bak/[6,7]|verb|hd/mod|in/[4,5]|prep|1
bak/[6,7]|verb|hd/mod|niet/[3,4]|adv|1
bak/[6,7]|verb|hd/obj1|friet/[1,2]|noun|1
ben/[8,9]|verb|hd/mod|steeds/[10,11]|adv|1
ben/[8,9]|verb|hd/predc|lekker/[12,13]|adj|1
ben/[8,9]|verb|hd/su|friet/[1,2]|noun|1
friet/[1,2]|noun|hd/det|de/[0,1]|det|1
in/[4,5]|prep|hd/obj1|vet/[5,6]|noun|1
lekker/[12,13]|adj|hd/mod|enorm/[11,12]|adj|1
maar/[7,8]|vg|-- / --|./[13,14]|punct|1
maar/[7,8]|vg|crd/cnj|ben/[8,9]|verb|1
maar/[7,8]|vg|crd/cnj|word/[2,3]|verb|1
steeds/[10,11]|adv|hd/mod|nog/[9,10]|adv|1
top/top|top|top/hd|maar/[7,8]|vg|1
word/[2,3]|verb|hd/su|friet/[1,2]|noun|1
word/[2,3]|verb|hd/vc|bak/[6,7]|verb|1
ben/[8,9]|verb|hd/predc|suiker_vrij/[9,10]|adj|1
ben/[8,9]|verb|hd/su|broodje/[7,8]|noun|1
broodje/[7,8]|noun|hd/det|de/[6,7]|det|1
en/[5,6]|vg|-- / --|./[10,11]|punct|1
en/[5,6]|vg|crd/cnj|ben/[8,9]|verb|1
en/[5,6]|vg|crd/cnj|word/[2,3]|verb|1
hamburger/[1,2]|noun|hd/det|de/[0,1]|det|1
maak/[4,5]|verb|hd/obj1|hamburger/[1,2]|noun|1
maak/[4,5]|verb|hd/predc|vers/[3,4]|adj|1
top/top|top|top/hd|en/[5,6]|vg|1
word/[2,3]|verb|hd/su|hamburger/[1,2]|noun|1
word/[2,3]|verb|hd/vc|maak/[4,5]|verb|1
