Ab/[7,8]|name|hd/mod|uitverkocht/[6,7]|adj|1
in/[5,6]|prep|hd/obj1|Ab/[7,8]|name|1
speel/[1,2]|verb|-- / --|./[8,9]|punct|1
speel/[1,2]|verb|hd/mod|gisteren/[0,1]|adv|1
speel/[1,2]|verb|hd/mod|in/[5,6]|prep|1
speel/[1,2]|verb|hd/su|Above the Viper/[2,5]|name|1
top/top|top|top/hd|speel/[1,2]|verb|1
begin/[9,10]|verb|hd/mod|laat/[8,9]|adj|1
begin/[9,10]|verb|hd/obj1|uur/[6,7]|noun|1
begin/[9,10]|verb|hd/su|dat/[2,3]|pron|1
ben/[10,11]|verb|-- / --|./[13,14]|punct|1
ben/[10,11]|verb|hd/predc|zwakjes/[12,13]|adj|1
ben/[10,11]|verb|hd/su|voor_programma/[1,2]|noun|1
dat/[2,3]|pron|rhd/body|begin/[9,10]|verb|1
laat/[8,9]|adj|hd/mod|te/[7,8]|adv|1
top/top|top|top/hd|ben/[10,11]|verb|1
uur/[6,7]|noun|hd/det|een/[4,5]|det|1
uur/[6,7]|noun|hd/mod|bijna/[3,4]|adv|1
uur/[6,7]|noun|hd/mod|half/[5,6]|adj|1
voor_programma/[1,2]|noun|hd/det|het/[0,1]|det|1
voor_programma/[1,2]|noun|hd/mod|dat/[2,3]|pron|1
zwakjes/[12,13]|adj|hd/mod|wat/[11,12]|adv|1
heb/[1,2]|verb|-- / --|./[10,11]|punct|1
heb/[1,2]|verb|hd/obj1|moeite/[2,3]|noun|1
heb/[1,2]|verb|hd/su|ze/[0,1]|pron|1
in/[5,6]|prep|hd/obj1|zaal/[7,8]|noun|1
krijg/[9,10]|verb|hd/ld|in/[5,6]|prep|1
krijg/[9,10]|verb|hd/obj1|beweging/[4,5]|noun|1
moeite/[2,3]|noun|hd/vc|om/[3,4]|comp|1
om/[3,4]|comp|cmp/body|te/[8,9]|comp|1
te/[8,9]|comp|cmp/body|krijg/[9,10]|verb|1
top/top|top|top/hd|heb/[1,2]|verb|1
zaal/[7,8]|noun|hd/det|de/[6,7]|det|1
en/[10,11]|vg|crd/cnj|gebruld/[9,10]|adj|1
en/[10,11]|vg|crd/cnj|geheadbanged/[11,12]|noun|1
op/[1,2]|prep|-- / --|./[12,13]|punct|1
op/[1,2]|prep|dp/dp|word/[6,7]|verb|1
op/[1,2]|prep|hd/mod|enkel/[0,1]|adv|1
op/[1,2]|prep|hd/obj1|paar/[4,5]|noun|1
paar/[4,5]|noun|hd/det|de/[2,3]|det|1
paar/[4,5]|noun|hd/mod|eerste/[3,4]|num|1
paar/[4,5]|noun|hd/mod|rij/[5,6]|noun|1
top/top|top|top/hd|op/[1,2]|prep|1
word/[6,7]|verb|hd/mod|er/[7,8]|adv|1
word/[6,7]|verb|hd/mod|mee/[8,9]|adv|1
word/[6,7]|verb|hd/predc|en/[10,11]|vg|1
ben/[9,10]|verb|-- / --|./[20,21]|punct|1
ben/[9,10]|verb|hd/mod|direct/[11,12]|adj|1
ben/[9,10]|verb|hd/mod|wanneer/[0,1]|comp|1
ben/[9,10]|verb|hd/predc|duidelijk/[12,13]|adj|1
ben/[9,10]|verb|hd/su|dat/[13,14]|comp|1
ben/[9,10]|verb|hd/sup|het/[10,11]|noun|1
dat/[13,14]|comp|cmp/body|heb/[19,20]|verb|1
heb/[19,20]|verb|hd/obj1|moeite/[17,18]|noun|1
heb/[19,20]|verb|hd/pc|met/[18,19]|prep|1
heb/[19,20]|verb|hd/su|zij/[14,15]|pron|1
met/[18,19]|prep|hd/obj1|hier/[15,16]|adv|1
moeite/[17,18]|noun|hd/det|geen/[16,17]|det|1
op/[5,6]|prep|hd/obj1|podium/[7,8]|noun|1
podium/[7,8]|noun|hd/det|het/[6,7]|det|1
top/top|top|top/hd|ben/[9,10]|verb|1
verschijn/[8,9]|verb|hd/ld|op/[5,6]|prep|1
verschijn/[8,9]|verb|hd/mod|eindelijk/[4,5]|adj|1
verschijn/[8,9]|verb|hd/su|Above the Viper/[1,4]|name|1
