302/[6,7]|num|hd/mod|model/[5,6]|adj|1
heb/[1,2]|verb|-- / --|./[10,11]|punct|1
heb/[1,2]|verb|hd/mod|jaar/[9,10]|noun|1
heb/[1,2]|verb|hd/obj1|propname_gsm/[3,5]|noun|1
heb/[1,2]|verb|hd/su|ik/[0,1]|pron|1
jaar/[9,10]|noun|hd/det|een/[8,9]|det|1
jaar/[9,10]|noun|hd/mod|ruim/[7,8]|adv|1
propname_gsm/[3,5]|noun|hd/app|302/[6,7]|num|1
propname_gsm/[3,5]|noun|hd/det|deze/[2,3]|det|1
top/top|top|top/hd|heb/[1,2]|verb|1
ben/[1,2]|verb|-- / --|./[15,16]|punct|1
ben/[1,2]|verb|hd/predc|gsm/[3,4]|noun|1
ben/[1,2]|verb|hd/su|het/[0,1]|det|1
die/[4,5]|pron|rhd/body|maar/[10,11]|vg|1
en/[7,8]|vg|crd/cnj|oog/[6,7]|verb|1
en/[7,8]|vg|crd/cnj|typ/[9,10]|verb|1
gsm/[3,4]|noun|hd/det|een/[2,3]|det|1
gsm/[3,4]|noun|hd/mod|die/[4,5]|pron|1
maar/[10,11]|vg|crd/cnj|en/[7,8]|vg|1
maar/[10,11]|vg|crd/cnj|zie_uit/[14,15]|verb|1
oog/[6,7]|verb|hd/mod|netjes/[5,6]|adj|1
oog/[6,7]|verb|hd/su|die/[4,5]|pron|1
top/top|top|top/hd|ben/[1,2]|verb|1
typ/[9,10]|verb|hd/mod|aardig/[8,9]|adj|1
typ/[9,10]|verb|hd/mod|netjes/[5,6]|adj|1
typ/[9,10]|verb|hd/su|die/[4,5]|pron|1
zie_uit/[14,15]|verb|hd/mod|toch/[12,13]|adv|1
zie_uit/[14,15]|verb|hd/predc|goedkoop/[13,14]|adj|1
zie_uit/[14,15]|verb|hd/su|die/[4,5]|pron|1
zie_uit/[14,15]|verb|hd/svp|er/[11,12]|adv|1
3/[4,5]|noun|hd/det|een/[3,4]|det|1
heb/[2,3]|verb|-- / --|./[5,6]|punct|1
heb/[2,3]|verb|hd/obj1|3/[4,5]|noun|1
heb/[2,3]|verb|hd/su|toestel/[1,2]|noun|1
toestel/[1,2]|noun|hd/det|het/[0,1]|det|1
top/top|top|top/hd|heb/[2,3]|verb|1
MP camera,/[1,3]|name|-- / --|./[28,29]|punct|1
MP camera,/[1,3]|name|dp/dp|ben/[6,7]|verb|1
MP camera,/[1,3]|name|hd/det|2/[0,1]|num|1
ben/[6,7]|verb|hd/mod|maar/[11,12]|adv|1
ben/[6,7]|verb|hd/mod|voor/[7,8]|prep|1
ben/[6,7]|verb|hd/predc|wat/[12,13]|pron|1
ben/[6,7]|verb|hd/su|weinig/[5,6]|adj|1
betaal/[26,27]|verb|hd/obj1|die/[23,24]|pron|1
betaal/[26,27]|verb|hd/pc|ervoor/[25,26]|pp|1
betaal/[26,27]|verb|hd/su|ik/[24,25]|pron|1
dan/[16,17]|comparative|cmp/body|schappelijk/[17,18]|adj|1
die/[23,24]|pron|rhd/body|heb/[27,28]|verb|1
heb/[27,28]|verb|hd/su|ik/[24,25]|pron|1
heb/[27,28]|verb|hd/vc|betaal/[26,27]|verb|1
minder/[15,16]|adj|hd/mod|niet/[14,15]|adv|1
minder/[15,16]|adj|hd/obcomp|dan/[16,17]|comparative|1
omwille van/[19,21]|prep|hd/obj1|prijs/[22,23]|noun|1
prijs/[22,23]|noun|hd/det|de/[21,22]|det|1
prijs/[22,23]|noun|hd/mod|die/[23,24]|pron|1
smartphone/[10,11]|noun|hd/det|een/[8,9]|det|1
smartphone/[10,11]|noun|hd/mod|doorsnee/[9,10]|adj|1
top/top|top|top/hd|MP camera,/[1,3]|name|1
vind/[18,19]|verb|hd/mod|omwille van/[19,21]|prep|1
vind/[18,19]|verb|hd/obj1|wat/[12,13]|pron|1
vind/[18,19]|verb|hd/predc|minder/[15,16]|adj|1
vind/[18,19]|verb|hd/su|ik/[13,14]|pron|1
voor/[7,8]|prep|hd/obj1|smartphone/[10,11]|noun|1
wat/[12,13]|pron|rhd/body|vind/[18,19]|verb|1
weinig/[5,6]|adj|hd/mod|erg/[4,5]|adj|1
