die/[3,4]|pron|rhd/body|ga/[8,9]|verb|1
ga/[8,9]|verb|hd/ld|naar/[5,6]|prep|1
ga/[8,9]|verb|hd/su|die/[3,4]|pron|1
hart/[7,8]|noun|hd/det|het/[6,7]|det|1
maak/[1,2]|verb|-- / --|./[9,10]|punct|1
maak/[1,2]|verb|hd/obj1|muziek/[2,3]|noun|1
maak/[1,2]|verb|hd/su|PROPNAME/[0,1]|name|1
muziek/[2,3]|noun|hd/mod|die/[3,4]|pron|1
naar/[5,6]|prep|hd/mod|recht/[4,5]|adv|1
naar/[5,6]|prep|hd/obj1|hart/[7,8]|noun|1
top/top|top|top/hd|maak/[1,2]|verb|1
cds/[4,5]|noun|hd/det|hun/[3,4]|det|1
en/[6,7]|vg|-- / --|!/[14,15]|punct|1
en/[6,7]|vg|crd/cnj|heb/[1,2]|verb|1
en/[6,7]|vg|crd/cnj|heb/[8,9]|verb|1
heb/[1,2]|verb|hd/su|ik/[0,1]|pron|1
heb/[1,2]|verb|hd/vc|koop/[5,6]|verb|1
heb/[8,9]|verb|hd/mod|absoluut/[10,11]|adj|1
heb/[8,9]|verb|hd/obj1|spijt/[12,13]|noun|1
heb/[8,9]|verb|hd/pc|van/[13,14]|prep|1
heb/[8,9]|verb|hd/su|ik/[7,8]|pron|1
hun/[3,4]|det|hd/mod|al/[2,3]|det|1
koop/[5,6]|verb|hd/obj1|cds/[4,5]|noun|1
koop/[5,6]|verb|hd/su|ik/[0,1]|pron|1
spijt/[12,13]|noun|hd/det|geen/[11,12]|det|1
top/top|top|top/hd|en/[6,7]|vg|1
van/[13,14]|prep|hd/obj1|er/[9,10]|adv|1
ben/[10,11]|verb|hd/predc|mooi/[12,13]|adj|1
ben/[10,11]|verb|hd/su|climax/[9,10]|noun|1
bezorg/[4,5]|verb|-- / --|!/[13,14]|punct|1
bezorg/[4,5]|verb|dp/dp|ben/[10,11]|verb|1
bezorg/[4,5]|verb|hd/obj1|kippenvel/[7,8]|noun|1
bezorg/[4,5]|verb|hd/obj2|mij/[5,6]|pron|1
bezorg/[4,5]|verb|hd/su|lied_DIM/[0,1]|noun|1
climax/[9,10]|noun|hd/det|die/[8,9]|det|1
kippenvel/[7,8]|noun|hd/mod|echt/[6,7]|adj|1
lied_DIM/[0,1]|noun|hd/mod|zoals/[1,2]|comp|1
mooi/[12,13]|adj|hd/mod|zo/[11,12]|adv|1
top/top|top|top/hd|bezorg/[4,5]|verb|1
zoals/[1,2]|comp|cmp/body|Fix You/[2,4]|name|1
ben/[2,3]|verb|-- / --|!/[13,14]|punct|1
ben/[2,3]|verb|hd/mod|geweldig/[4,5]|adj|1
ben/[2,3]|verb|hd/mod|moet/[6,7]|verb|1
ben/[2,3]|verb|hd/obj2|je/[5,6]|pron|1
ben/[2,3]|verb|hd/predc|live/[1,2]|adj|1
ben/[2,3]|verb|hd/su|ze/[3,4]|pron|1
heb/[12,13]|verb|hd/su|ze/[7,8]|pron|1
heb/[12,13]|verb|hd/vc|zie/[11,12]|verb|1
live/[1,2]|adj|hd/mod|ook/[0,1]|adv|1
moet/[6,7]|verb|hd/su|ze/[7,8]|pron|1
moet/[6,7]|verb|hd/vc|heb/[12,13]|verb|1
top/top|top|top/hd|ben/[2,3]|verb|1
zie/[11,12]|verb|hd/mod|eens/[9,10]|adv|1
zie/[11,12]|verb|hd/mod|live/[10,11]|adj|1
zie/[11,12]|verb|hd/mod|zeker/[8,9]|adj|1
zie/[11,12]|verb|hd/su|ze/[7,8]|pron|1
leven/[4,5]|noun|hd/det|mijn/[3,4]|det|1
optreden/[1,2]|noun|-- / --|./[5,6]|punct|1
optreden/[1,2]|noun|hd/mod|goed/[0,1]|adj|1
optreden/[1,2]|noun|hd/mod|uit/[2,3]|prep|1
top/top|top|top/hd|optreden/[1,2]|noun|1
uit/[2,3]|prep|hd/obj1|leven/[4,5]|noun|1
