alsof/[2,3]|comp|cmp/body|ben/[10,11]|verb|1
ben/[10,11]|verb|hd/su|bron/[4,5]|noun|1
ben/[10,11]|verb|hd/vc|droog_op/[9,10]|verb|1
bron/[4,5]|noun|hd/det|Hollywood/[3,4]|det|1
bron/[4,5]|noun|hd/mod|van/[5,6]|prep|1
droog_op/[9,10]|verb|hd/mod|dan/[7,8]|adv|1
droog_op/[9,10]|verb|hd/mod|toch/[8,9]|adv|1
droog_op/[9,10]|verb|hd/su|bron/[4,5]|noun|1
lijk/[1,2]|verb|-- / --|./[11,12]|punct|1
lijk/[1,2]|verb|hd/su|alsof/[2,3]|comp|1
lijk/[1,2]|verb|hd/sup|het/[0,1]|noun|1
top/top|top|top/hd|lijk/[1,2]|verb|1
van/[5,6]|prep|hd/obj1|idee/[6,7]|noun|1
geef/[20,21]|verb|hd/mod|achteraf/[26,27]|adv|1
geef/[20,21]|verb|hd/obj1|hoofd_pijn/[25,26]|noun|1
geef/[20,21]|verb|hd/obj2|je/[21,22]|pron|1
geef/[20,21]|verb|hd/su|het/[14,15]|det|1
heb_weg/[5,6]|verb|hd/mod|veel/[6,7]|adj|1
heb_weg/[5,6]|verb|hd/pc|van/[8,9]|prep|1
heb_weg/[5,6]|verb|hd/su|meet again/[3,5]|name|1
heb_weg/[5,6]|verb|hd/svp|weg/[7,8]|part|1
hoofd_pijn/[25,26]|noun|hd/det|een/[23,24]|det|1
hoofd_pijn/[25,26]|noun|hd/mod|barst/[24,25]|adj|1
hoofd_pijn/[25,26]|noun|hd/mod|enkel/[22,23]|adv|1
how/[0,1]|tag|-- / --|./[27,28]|punct|1
how/[0,1]|tag|-- / --|we/[2,3]|pron|1
how/[0,1]|tag|dp/dp|heb_weg/[5,6]|verb|1
how/[0,1]|tag|dp/dp|maar/[19,20]|vg|1
how/[0,1]|tag|tag/nucl|doe/[1,2]|verb|1
kater/[10,11]|noun|hd/det|een/[9,10]|det|1
kater/[10,11]|noun|hd/mod|op/[11,12]|prep|1
lijk/[15,16]|verb|hd/mod|op/[17,18]|prep|1
lijk/[15,16]|verb|hd/predc|leuk/[16,17]|adj|1
lijk/[15,16]|verb|hd/su|het/[14,15]|det|1
maar/[19,20]|vg|crd/cnj|geef/[20,21]|verb|1
maar/[19,20]|vg|crd/cnj|lijk/[15,16]|verb|1
op/[11,12]|prep|hd/obj1|zondag_ochtend/[13,14]|noun|1
op/[17,18]|prep|hd/obj1|zich/[18,19]|pron|1
top/top|top|top/hd|how/[0,1]|tag|1
van/[8,9]|prep|hd/obj1|kater/[10,11]|noun|1
zondag_ochtend/[13,14]|noun|hd/det|een/[12,13]|det|1
ben/[3,4]|verb|-- / --|./[10,11]|punct|1
ben/[3,4]|verb|hd/predc|top_DIM/[6,7]|noun|1
ben/[3,4]|verb|hd/su|camera_werk/[2,3]|noun|1
camera_werk/[2,3]|noun|hd/det|het/[0,1]|det|1
camera_werk/[2,3]|noun|hd/mod|slecht/[1,2]|adj|1
ijsberg/[9,10]|noun|hd/det|de/[8,9]|det|1
top/top|top|top/hd|ben/[3,4]|verb|1
top_DIM/[6,7]|noun|hd/det|het/[5,6]|det|1
top_DIM/[6,7]|noun|hd/mod|slechts/[4,5]|adv|1
top_DIM/[6,7]|noun|hd/mod|van/[7,8]|prep|1
van/[7,8]|prep|hd/obj1|ijsberg/[9,10]|noun|1
bij/[8,9]|prep|hd/obj1|kies/[10,11]|verb|1
cast/[13,14]|noun|hd/det|zijn/[12,13]|det|1
heb/[1,2]|verb|-- / --|./[14,15]|punct|1
heb/[1,2]|verb|hd/mod|duidelijk/[0,1]|adj|1
heb/[1,2]|verb|hd/mod|ook/[2,3]|adv|1
heb/[1,2]|verb|hd/mod|ook/[5,6]|adv|1
heb/[1,2]|verb|hd/obj1|kater/[7,8]|noun|1
heb/[1,2]|verb|hd/su|regisseur/[4,5]|noun|1
kater/[7,8]|noun|hd/det|een/[6,7]|det|1
kater/[7,8]|noun|hd/mod|bij/[8,9]|prep|1
kies/[10,11]|verb|hd/det|het/[9,10]|det|1
kies/[10,11]|verb|hd/mod|van/[11,12]|prep|1
regisseur/[4,5]|noun|hd/det|de/[3,4]|det|1
top/top|top|top/hd|heb/[1,2]|verb|1
van/[11,12]|prep|hd/obj1|cast/[13,14]|noun|1
