dat/[14,15]|pron|rhd/body|kan/[18,19]|verb|1
ga/[7,8]|verb|-- / --|./[20,21]|punct|1
ga/[7,8]|verb|hd/pc|over/[8,9]|prep|1
ga/[7,8]|verb|hd/su|komedie/[3,4]|noun|1
haar/[12,13]|noun|hd/app|30/[13,14]|num|1
haar/[12,13]|noun|hd/mod|dat/[14,15]|pron|1
in/[11,12]|prep|hd/obj1|haar/[12,13]|noun|1
kan/[18,19]|verb|hd/su|dat/[14,15]|pron|1
kan/[18,19]|verb|hd/vc|vind/[19,20]|verb|1
komedie/[3,4]|noun|hd/det|de/[0,1]|det|1
komedie/[3,4]|noun|hd/mod|met/[4,5]|prep|1
komedie/[3,4]|noun|hd/mod|nieuw/[1,2]|adj|1
komedie/[3,4]|noun|hd/mod|romantisch/[2,3]|adj|1
man/[17,18]|noun|hd/det|geen/[16,17]|det|1
met/[4,5]|prep|hd/obj1|Kate Hudson/[5,7]|name|1
over/[8,9]|prep|hd/obj1|vrouw/[10,11]|noun|1
top/top|top|top/hd|ga/[7,8]|verb|1
vind/[19,20]|verb|hd/mod|maar/[15,16]|adv|1
vind/[19,20]|verb|hd/obj1|man/[17,18]|noun|1
vind/[19,20]|verb|hd/su|dat/[14,15]|pron|1
vrouw/[10,11]|noun|hd/det|een/[9,10]|det|1
vrouw/[10,11]|noun|hd/mod|in/[11,12]|prep|1
ben/[3,4]|verb|-- / --|./[9,10]|punct|1
ben/[3,4]|verb|hd/mod|altijd/[7,8]|adv|1
ben/[3,4]|verb|hd/mod|na/[0,1]|prep|1
ben/[3,4]|verb|hd/predc|beu/[8,9]|adj|1
ben/[3,4]|verb|hd/su|man/[5,6]|noun|1
beu/[8,9]|adj|hd/obj1|haar/[6,7]|pron|1
dates/[2,3]|noun|hd/det|drie/[1,2]|num|1
man/[5,6]|noun|hd/det|de/[4,5]|det|1
na/[0,1]|prep|hd/obj1|dates/[2,3]|noun|1
top/top|top|top/hd|ben/[3,4]|verb|1
bij/[11,12]|prep|hd/obj1|vind/[13,14]|verb|1
door/[4,5]|prep|hd/obj1|Gerard Butler,/[5,7]|name|1
gespeeld/[3,4]|adj|hd/mod|door/[4,5]|prep|1
help/[10,11]|verb|hd/obj1|haar/[8,9]|pron|1
help/[10,11]|verb|hd/pc|bij/[11,12]|prep|1
help/[10,11]|verb|hd/su|vriend/[2,3]|noun|1
probeer/[7,8]|verb|-- / --|./[17,18]|punct|1
probeer/[7,8]|verb|hd/su|vriend/[2,3]|noun|1
probeer/[7,8]|verb|hd/vc|te/[9,10]|comp|1
te/[9,10]|comp|cmp/body|help/[10,11]|verb|1
top/top|top|top/hd|probeer/[7,8]|verb|1
van/[14,15]|prep|hd/obj1|Prince Charming/[15,17]|name|1
vind/[13,14]|verb|hd/det|het/[12,13]|det|1
vind/[13,14]|verb|hd/mod|van/[14,15]|prep|1
vriend/[2,3]|noun|hd/det|haar/[0,1]|det|1
vriend/[2,3]|noun|hd/mod|gespeeld/[3,4]|adj|1
vriend/[2,3]|noun|hd/mod|goed/[1,2]|adj|1
cliché/[2,3]|noun|hd/det|alle/[1,2]|det|1
gevoel/[17,18]|noun|hd/det|zijn/[15,16]|det|1
gevoel/[17,18]|noun|hd/mod|voor/[18,19]|prep|1
gevoel/[17,18]|noun|hd/mod|waar/[16,17]|adj|1
haal/[5,6]|verb|hd/mod|boven/[3,4]|adv|1
haal/[5,6]|verb|hd/obj1|cliché/[2,3]|noun|1
maar/[12,13]|vg|-- / --|./[20,21]|punct|1
maar/[12,13]|vg|crd/cnj|ontdek/[13,14]|verb|1
maar/[12,13]|vg|crd/cnj|vind/[6,7]|verb|1
man/[11,12]|noun|hd/det|de/[9,10]|det|1
man/[11,12]|noun|hd/mod|gepast/[10,11]|adj|1
om/[0,1]|comp|cmp/body|te/[4,5]|comp|1
ontdek/[13,14]|verb|hd/mod|zo/[14,15]|adv|1
ontdek/[13,14]|verb|hd/obj1|gevoel/[17,18]|noun|1
ontdek/[13,14]|verb|hd/su|hij/[7,8]|pron|1
te/[4,5]|comp|cmp/body|haal/[5,6]|verb|1
top/top|top|top/hd|maar/[12,13]|vg|1
vind/[6,7]|verb|hd/mod|direct/[8,9]|adj|1
