aan/[3,4]|prep|hd/obj1|PROPNAME Koffiebar/[4,6]|name|1
ben/[6,7]|verb|-- / --|./[13,14]|punct|1
ben/[6,7]|verb|hd/mod|meteen/[7,8]|adv|1
ben/[6,7]|verb|hd/predc|schot/[9,10]|noun|1
ben/[6,7]|verb|hd/su|bezoek/[2,3]|noun|1
bezoek/[2,3]|noun|hd/det|mijn/[0,1]|det|1
bezoek/[2,3]|noun|hd/mod|aan/[3,4]|prep|1
bezoek/[2,3]|noun|hd/mod|eerste/[1,2]|num|1
in/[10,11]|prep|hd/obj1|roos/[12,13]|noun|1
roos/[12,13]|noun|hd/det|de/[11,12]|det|1
schot/[9,10]|noun|hd/det|een/[8,9]|det|1
schot/[9,10]|noun|hd/mod|in/[10,11]|prep|1
top/top|top|top/hd|ben/[6,7]|verb|1
ben/[2,3]|verb|-- / --|!/[5,6]|punct|1
ben/[2,3]|verb|hd/mod|er/[3,4]|adv|1
ben/[2,3]|verb|hd/predc|heerlijk/[4,5]|adj|1
ben/[2,3]|verb|hd/su|koffie/[1,2]|noun|1
koffie/[1,2]|noun|hd/det|de/[0,1]|det|1
top/top|top|top/hd|ben/[2,3]|verb|1
ben/[1,2]|verb|hd/mod|er/[0,1]|adv|1
ben/[1,2]|verb|hd/su|keuze/[4,5]|noun|1
ben/[21,22]|verb|hd/predc|lekker/[20,21]|adj|1
ben/[21,22]|verb|hd/su|het/[18,19]|det|1
betrap/[7,8]|verb|hd/mod|vaak/[6,7]|adj|1
betrap/[7,8]|verb|hd/obj1|mezelf/[9,10]|pron|1
betrap/[7,8]|verb|hd/pc|erop/[10,11]|pp|1
betrap/[7,8]|verb|hd/su|ik/[8,9]|pron|1
dat/[11,12]|comp|cmp/body|neem/[15,16]|verb|1
erop/[10,11]|pp|hd/vc|dat/[11,12]|comp|1
keuze/[4,5]|noun|hd/det|veel/[3,4]|adj|1
lekker/[20,21]|adj|hd/mod|zo/[19,20]|adv|1
maar/[5,6]|vg|-- / --|./[22,23]|punct|1
maar/[5,6]|vg|crd/cnj|ben/[1,2]|verb|1
maar/[5,6]|vg|crd/cnj|betrap/[7,8]|verb|1
maar/[5,6]|vg|dp/dp|gewoon/[16,17]|adj|1
maar/[5,6]|vg|dp/dp|omdat/[17,18]|comp|1
neem/[15,16]|verb|hd/mod|weer/[13,14]|adv|1
neem/[15,16]|verb|hd/obj1|hetzelfde/[14,15]|det|1
neem/[15,16]|verb|hd/su|ik/[12,13]|pron|1
omdat/[17,18]|comp|cmp/body|ben/[21,22]|verb|1
top/top|top|top/hd|maar/[5,6]|vg|1
veel/[3,4]|adj|hd/mod|zo/[2,3]|adv|1
aanrader/[5,6]|noun|hd/det|een/[3,4]|det|1
aanrader/[5,6]|noun|hd/mod|echt/[4,5]|adj|1
ben/[2,3]|verb|-- / --|./[6,7]|punct|1
ben/[2,3]|verb|hd/predc|aanrader/[5,6]|noun|1
