als/[5,6]|comparative|cmp/body|laat/[8,9]|verb|1
ben/[1,2]|verb|-- / --|./[10,11]|punct|1
ben/[1,2]|verb|hd/mod|niet/[2,3]|adv|1
ben/[1,2]|verb|hd/predc|perfect/[4,5]|adj|1
ben/[1,2]|verb|hd/su|PROPNAME/[0,1]|name|1
laat/[8,9]|verb|hd/su|men/[6,7]|pron|1
laat/[8,9]|verb|hd/vc|schijn_uit/[9,10]|verb|1
perfect/[4,5]|adj|hd/mod|zo/[3,4]|adv|1
schijn_uit/[9,10]|verb|hd/obj1|zich/[7,8]|pron|1
top/top|top|top/hd|ben/[1,2]|verb|1
zo/[3,4]|adv|hd/obcomp|als/[5,6]|comparative|1
bediening/[10,11]|noun|hd/det|de/[9,10]|det|1
ben/[3,4]|verb|-- / --|./[11,12]|punct|1
ben/[3,4]|verb|hd/mod|en/[1,2]|vg|1
ben/[3,4]|verb|hd/mod|niet/[5,6]|adv|1
ben/[3,4]|verb|hd/pc|over/[8,9]|prep|1
ben/[3,4]|verb|hd/su|ik/[4,5]|pron|1
ben/[3,4]|verb|hd/svp|te/[6,7]|comp|1
en/[1,2]|vg|crd/cnj|eerst/[0,1]|adv|1
en/[1,2]|vg|crd/cnj|vooral/[2,3]|adv|1
over/[8,9]|prep|hd/obj1|bediening/[10,11]|noun|1
te/[6,7]|comp|cmp/body|spreek/[7,8]|verb|1
top/top|top|top/hd|ben/[3,4]|verb|1
bestelling/[10,11]|noun|hd/det|mijn/[9,10]|det|1
dek/[13,14]|verb|-- / --|./[21,22]|punct|1
dek/[13,14]|verb|hd/mod|nadat/[0,1]|comp|1
dek/[13,14]|verb|hd/obj1|tafel/[17,18]|noun|1
dek/[13,14]|verb|hd/su|serveerster/[15,16]|noun|1
heb/[4,5]|verb|hd/su|ik/[1,2]|pron|1
heb/[4,5]|verb|hd/vc|wacht/[5,6]|verb|1
kom/[11,12]|verb|hd/su|iemand/[8,9]|noun|1
kom/[11,12]|verb|hd/vc|neem_op/[12,13]|verb|1
met/[18,19]|prep|hd/obj1|tegenzin/[20,21]|noun|1
minuut/[3,4]|noun|hd/det|twintig/[2,3]|num|1
nadat/[0,1]|comp|cmp/body|heb/[4,5]|verb|1
neem_op/[12,13]|verb|hd/mod|er/[7,8]|adv|1
neem_op/[12,13]|verb|hd/obj1|bestelling/[10,11]|noun|1
neem_op/[12,13]|verb|hd/su|iemand/[8,9]|noun|1
serveerster/[15,16]|noun|hd/det|de/[14,15]|det|1
tafel/[17,18]|noun|hd/det|mijn/[16,17]|det|1
tafel/[17,18]|noun|hd/mod|met/[18,19]|prep|1
tegenzin/[20,21]|noun|hd/det|veel/[19,20]|adj|1
top/top|top|top/hd|dek/[13,14]|verb|1
voordat/[6,7]|comp|cmp/body|kom/[11,12]|verb|1
wacht/[5,6]|verb|hd/mod|minuut/[3,4]|noun|1
wacht/[5,6]|verb|hd/mod|voordat/[6,7]|comp|1
wacht/[5,6]|verb|hd/su|ik/[1,2]|pron|1
ben/[4,5]|verb|-- / --|./[8,9]|punct|1
ben/[4,5]|verb|hd/predc|gevraagd/[7,8]|adj|1
ben/[4,5]|verb|hd/su|lach/[3,4]|noun|1
gevraagd/[7,8]|adj|hd/mod|veel/[6,7]|adj|1
lach/[3,4]|noun|hd/det|een/[1,2]|det|1
lach/[3,4]|noun|hd/mod|beleefd/[2,3]|adj|1
lach/[3,4]|noun|hd/mod|zelfs/[0,1]|adv|1
top/top|top|top/hd|ben/[4,5]|verb|1
veel/[6,7]|adj|hd/mod|te/[5,6]|adv|1
ben/[11,12]|verb|-- / --|./[23,24]|punct|1
ben/[11,12]|verb|dp/dp|honger/[18,19]|noun|1
ben/[11,12]|verb|hd/obj2|pluspunt/[14,15]|noun|1
ben/[11,12]|verb|hd/predc|stil/[16,17]|adj|1
ben/[11,12]|verb|hd/su|en/[3,4]|vg|1
bij/[7,8]|prep|hd/obj1|drink/[9,10]|verb|1
die/[5,6]|pron|rhd/body|krijg/[10,11]|verb|1
drink/[9,10]|verb|hd/det|je/[8,9]|det|1
en/[3,4]|vg|crd/cnj|look_broodje/[4,5]|noun|1
en/[3,4]|vg|crd/cnj|olijf/[2,3]|noun|1
honger/[18,19]|noun|hd/det|de/[17,18]|det|1
honger/[18,19]|noun|hd/mod|voor/[19,20]|prep|1
krijg/[10,11]|verb|hd/mod|bij/[7,8]|prep|1
krijg/[10,11]|verb|hd/obj1|die/[5,6]|pron|1
krijg/[10,11]|verb|hd/su|je/[6,7]|pron|1
look_broodje/[4,5]|noun|hd/det|de/[0,1]|det|1
look_broodje/[4,5]|noun|hd/mod|die/[5,6]|pron|1
look_broodje/[4,5]|noun|hd/mod|heerlijk/[1,2]|adj|1
olijf/[2,3]|noun|hd/det|de/[0,1]|det|1
olijf/[2,3]|noun|hd/mod|die/[5,6]|pron|1
olijf/[2,3]|noun|hd/mod|heerlijk/[1,2]|adj|1
pluspunt/[14,15]|noun|hd/det|het/[12,13]|det|1
pluspunt/[14,15]|noun|hd/mod|enig/[13,14]|adj|1
stil/[16,17]|adj|hd/det|deze/[15,16]|det|1
top/top|top|top/hd|ben/[11,12]|verb|1
voor/[19,20]|prep|hd/obj1|wacht_tijd/[22,23]|noun|1
wacht_tijd/[22,23]|noun|hd/det|de/[20,21]|det|1
wacht_tijd/[22,23]|noun|hd/mod|lang/[21,22]|adj|1
ben/[1,2]|verb|-- / --|./[10,11]|punct|1
ben/[1,2]|verb|hd/su|PROPNAME/[2,3]|name|1
ben/[1,2]|verb|hd/vc|dompel_onder/[4,5]|verb|1
