Joker/[5,6]|name|hd/det|The Jellyfisch/[3,5]|det|1
aan/[2,3]|prep|hd/obj1|Joker/[5,6]|name|1
bezoek/[1,2]|noun|hd/det|mijn/[0,1]|det|1
bezoek/[1,2]|noun|hd/mod|aan/[2,3]|prep|1
ga/[6,7]|verb|-- / --|./[11,12]|punct|1
ga/[6,7]|verb|hd/su|ik/[7,8]|pron|1
ga/[6,7]|verb|hd/vc|vergeet/[10,11]|verb|1
top/top|top|top/hd|ga/[6,7]|verb|1
vergeet/[10,11]|verb|hd/mod|niet/[8,9]|adv|1
vergeet/[10,11]|verb|hd/mod|snel/[9,10]|adj|1
vergeet/[10,11]|verb|hd/obj1|bezoek/[1,2]|noun|1
vergeet/[10,11]|verb|hd/su|ik/[7,8]|pron|1
ga/[4,5]|verb|-- / --|./[12,13]|punct|1
ga/[4,5]|verb|hd/ld|naar/[6,7]|prep|1
ga/[4,5]|verb|hd/mod|over/[0,1]|prep|1
ga/[4,5]|verb|hd/su|ik/[5,6]|pron|1
gevoel/[11,12]|noun|hd/det|een/[9,10]|det|1
gevoel/[11,12]|noun|hd/mod|ontevreden/[10,11]|adj|1
huis/[7,8]|noun|hd/mod|met/[8,9]|prep|1
lijn/[3,4]|noun|hd/det|de/[1,2]|det|1
lijn/[3,4]|noun|hd/mod|geheel/[2,3]|adj|1
met/[8,9]|prep|hd/obj1|gevoel/[11,12]|noun|1
naar/[6,7]|prep|hd/obj1|huis/[7,8]|noun|1
over/[0,1]|prep|hd/obj1|lijn/[3,4]|noun|1
top/top|top|top/hd|ga/[4,5]|verb|1
ben/[1,2]|verb|-- / --|./[16,17]|punct|1
ben/[1,2]|verb|hd/ld|in/[8,9]|prep|1
ben/[1,2]|verb|hd/mod|er/[0,1]|adv|1
ben/[1,2]|verb|hd/su|zaak/[3,4]|noun|1
die/[4,5]|pron|rhd/body|kan/[7,8]|verb|1
in/[8,9]|prep|hd/obj1|restaurant/[10,11]|noun|1
kan/[7,8]|verb|hd/mod|niet/[6,7]|adv|1
kan/[7,8]|verb|hd/su|die/[4,5]|pron|1
klasse/[14,15]|noun|hd/det|enig/[13,14]|det|1
niet/[6,7]|adv|hd/mod|absoluut/[5,6]|adj|1
restaurant/[10,11]|noun|hd/det|een/[9,10]|det|1
restaurant/[10,11]|noun|hd/mod|waar/[11,12]|adv|1
top/top|top|top/hd|ben/[1,2]|verb|1
verwacht/[15,16]|verb|hd/mod|waar/[11,12]|adv|1
verwacht/[15,16]|verb|hd/obj1|klasse/[14,15]|noun|1
verwacht/[15,16]|verb|hd/su|ik/[12,13]|pron|1
waar/[11,12]|adv|rhd/body|verwacht/[15,16]|verb|1
zaak/[3,4]|noun|hd/det|enkel/[2,3]|det|1
zaak/[3,4]|noun|hd/mod|die/[4,5]|pron|1
ben/[2,3]|verb|hd/predc|en/[4,5]|vg|1
ben/[2,3]|verb|hd/su|ontvangst/[1,2]|noun|1
breng/[16,17]|verb|hd/obj1|drink/[14,15]|verb|1
breng/[16,17]|verb|hd/obj2|student/[12,13]|noun|1
breng/[16,17]|verb|hd/su|garçon,/[10,11]|noun|1
drink/[14,15]|verb|hd/det|ons/[13,14]|det|1
en/[4,5]|vg|crd/cnj|hartelijk/[3,4]|adj|1
en/[4,5]|vg|crd/cnj|in orde/[5,7]|adj|1
ga_mis/[17,18]|verb|hd/mod|keer/[21,22]|noun|1
ga_mis/[17,18]|verb|hd/mod|toen/[8,9]|comp|1
ga_mis/[17,18]|verb|hd/su|het/[18,19]|det|1
ga_mis/[17,18]|verb|hd/svp|mis/[22,23]|part|1
garçon,/[10,11]|noun|hd/det|de/[9,10]|det|1
keer/[21,22]|noun|hd/det|een/[19,20]|det|1
keer/[21,22]|noun|hd/mod|eerste/[20,21]|num|1
kom/[15,16]|verb|hd/su|garçon,/[10,11]|noun|1
kom/[15,16]|verb|hd/vc|breng/[16,17]|verb|1
maar/[7,8]|vg|-- / --|./[23,24]|punct|1
maar/[7,8]|vg|crd/cnj|ben/[2,3]|verb|1
maar/[7,8]|vg|crd/cnj|ga_mis/[17,18]|verb|1
ontvangst/[1,2]|noun|hd/det|de/[0,1]|det|1
student/[12,13]|noun|hd/det|een/[11,12]|det|1
toen/[8,9]|comp|cmp/body|kom/[15,16]|verb|1
top/top|top|top/hd|maar/[7,8]|vg|1
ben/[7,8]|verb|hd/mod|niet/[8,9]|adv|1
ben/[7,8]|verb|hd/predc|erg/[9,10]|adj|1
ben/[7,8]|verb|hd/su|dat/[0,1]|comp|1
ben/[12,13]|verb|hd/predc|op/[13,14]|prep|1
ben/[12,13]|verb|hd/su|excuus/[11,12]|noun|1
dat/[0,1]|comp|cmp/body|laat/[5,6]|verb|1
