PROPNAME/[1,2]|name|hd/det|de/[0,1]|det|1
ben/[2,3]|verb|hd/mod|sinds/[3,4]|prep|1
ben/[2,3]|verb|hd/predc|open/[5,6]|adj|1
ben/[2,3]|verb|hd/su|PROPNAME/[1,2]|name|1
commentaar/[13,14]|noun|hd/det|weinig/[11,12]|adj|1
commentaar/[13,14]|noun|hd/mod|positief/[12,13]|adj|1
en/[6,7]|vg|-- / --|./[15,16]|punct|1
en/[6,7]|vg|crd/cnj|ben/[2,3]|verb|1
en/[6,7]|vg|crd/cnj|heb/[7,8]|verb|1
heb/[7,8]|verb|hd/su|PROPNAME/[1,2]|name|1
heb/[7,8]|verb|hd/vc|krijg/[14,15]|verb|1
krijg/[14,15]|verb|hd/mod|tot/[8,9]|prep|1
krijg/[14,15]|verb|hd/obj1|commentaar/[13,14]|noun|1
krijg/[14,15]|verb|hd/su|PROPNAME/[1,2]|name|1
sinds/[3,4]|prep|hd/obj1|kort/[4,5]|adj|1
top/top|top|top/hd|en/[6,7]|vg|1
tot/[8,9]|prep|hd/hdf|toe/[10,11]|part|1
tot/[8,9]|prep|hd/obj1|nu/[9,10]|adv|1
ben/[1,2]|verb|hd/predm|zelf/[4,5]|adv|1
ben/[1,2]|verb|hd/su|ik/[0,1]|pron|1
ben/[1,2]|verb|hd/vc|ga/[5,6]|verb|1
ben/[9,10]|verb|hd/su|ik/[8,9]|pron|1
ben/[9,10]|verb|hd/vc|verras/[18,19]|verb|1
eet/[6,7]|verb|hd/mod|er/[2,3]|adv|1
eet/[6,7]|verb|hd/mod|onlangs/[3,4]|adv|1
eet/[6,7]|verb|hd/su|ik/[0,1]|pron|1
en/[7,8]|vg|-- / --|./[19,20]|punct|1
en/[7,8]|vg|crd/cnj|ben/[1,2]|verb|1
en/[7,8]|vg|crd/cnj|ben/[9,10]|verb|1
ga/[5,6]|verb|hd/su|ik/[0,1]|pron|1
ga/[5,6]|verb|hd/vc|eet/[6,7]|verb|1
in/[10,11]|prep|hd/obj1|zin/[14,15]|noun|1
negatief/[13,14]|adj|hd/mod|meest/[12,13]|adj|1
top/top|top|top/hd|en/[7,8]|vg|1
van/[15,16]|prep|hd/obj1|woord/[17,18]|noun|1
verras/[18,19]|verb|hd/mod|in/[10,11]|prep|1
verras/[18,19]|verb|hd/obj1|ik/[8,9]|pron|1
woord/[17,18]|noun|hd/det|het/[16,17]|det|1
zin/[14,15]|noun|hd/det|de/[11,12]|det|1
zin/[14,15]|noun|hd/mod|negatief/[13,14]|adj|1
zin/[14,15]|noun|hd/mod|van/[15,16]|prep|1
doe_aan/[8,9]|verb|hd/obj1|kwal_kostuum/[5,6]|noun|1
doe_aan/[8,9]|verb|hd/su|ober/[1,2]|noun|1
doe_aan/[8,9]|verb|hd/svp|aan/[6,7]|part|1
dwing/[3,4]|verb|hd/obj1|ober/[1,2]|noun|1
dwing/[3,4]|verb|hd/vc|te/[7,8]|comp|1
kwal_kostuum/[5,6]|noun|hd/det|een/[4,5]|det|1
ober/[1,2]|noun|hd/det|de/[0,1]|det|1
te/[7,8]|comp|cmp/body|doe_aan/[8,9]|verb|1
top/top|top|top/hd|word/[2,3]|verb|1
word/[2,3]|verb|-- / --|./[9,10]|punct|1
