PROPNAME 7/[1,3]|name|hd/det|de/[0,1]|det|1
ben/[3,4]|verb|-- / --|./[14,15]|punct|1
ben/[3,4]|verb|hd/mod|zonder/[4,5]|prep|1
ben/[3,4]|verb|hd/predc|smartphone/[8,9]|noun|1
ben/[3,4]|verb|hd/su|PROPNAME 7/[1,3]|name|1
die/[9,10]|pron|rhd/body|heb/[12,13]|verb|1
heb/[12,13]|verb|hd/su|ik/[10,11]|pron|1
heb/[12,13]|verb|hd/vc|heb/[13,14]|verb|1
heb/[13,14]|verb|hd/mod|ooit/[11,12]|adv|1
heb/[13,14]|verb|hd/obj1|die/[9,10]|pron|1
heb/[13,14]|verb|hd/su|ik/[10,11]|pron|1
smartphone/[8,9]|noun|hd/det|de/[6,7]|det|1
smartphone/[8,9]|noun|hd/mod|best/[7,8]|adj|1
smartphone/[8,9]|noun|hd/mod|die/[9,10]|pron|1
top/top|top|top/hd|ben/[3,4]|verb|1
zonder/[4,5]|prep|hd/obj1|twijfel/[5,6]|noun|1
die/[2,3]|pron|rhd/body|heb/[5,6]|verb|1
heb/[5,6]|verb|hd/mod|steeds/[4,5]|adv|1
heb/[5,6]|verb|hd/obj1|die/[2,3]|pron|1
heb/[5,6]|verb|hd/pc|met/[6,7]|prep|1
heb/[5,6]|verb|hd/su|ik/[3,4]|pron|1
heb/[10,11]|verb|-- / --|./[14,15]|punct|1
heb/[10,11]|verb|hd/mod|niet/[12,13]|adv|1
heb/[10,11]|verb|hd/obj1|probleem/[1,2]|noun|1
heb/[10,11]|verb|hd/su|ik/[11,12]|pron|1
met/[6,7]|prep|hd/obj1|model/[9,10]|noun|1
model/[9,10]|noun|hd/det|de/[7,8]|det|1
model/[9,10]|noun|hd/mod|oud/[8,9]|adj|1
niet/[12,13]|adv|hd/mod|meer/[13,14]|adv|1
probleem/[1,2]|noun|hd/det|de/[0,1]|det|1
probleem/[1,2]|noun|hd/mod|die/[2,3]|pron|1
top/top|top|top/hd|heb/[10,11]|verb|1
gemakkelijk/[5,6]|adj|hd/mod|heel/[4,5]|adv|1
kan/[1,2]|verb|-- / --|./[14,15]|punct|1
kan/[1,2]|verb|hd/su|ik/[2,3]|pron|1
kan/[1,2]|verb|hd/vc|speel/[9,10]|verb|1
mis/[13,14]|verb|hd/mod|hiervoor/[12,13]|pp|1
mis/[13,14]|verb|hd/obj1|wat/[10,11]|pron|1
mis/[13,14]|verb|hd/su|ik/[11,12]|pron|1
multiplayer/[6,7]|noun|hd/mod|gemakkelijk/[5,6]|adj|1
speel/[9,10]|verb|hd/mod|nu/[3,4]|adv|1
speel/[9,10]|verb|hd/mod|video_game/[7,9]|noun|1
speel/[9,10]|verb|hd/mod|wat/[10,11]|pron|1
speel/[9,10]|verb|hd/mod|zo/[0,1]|adv|1
speel/[9,10]|verb|hd/obj1|multiplayer/[6,7]|noun|1
speel/[9,10]|verb|hd/su|ik/[2,3]|pron|1
top/top|top|top/hd|kan/[1,2]|verb|1
wat/[10,11]|pron|rhd/body|mis/[13,14]|verb|1
breng_uit/[22,23]|verb|hd/mod|daarna/[17,18]|pp|1
