als/[5,6]|comparative|cmp/body|lust/[8,9]|verb|1
ben/[1,2]|verb|-- / --|./[11,12]|punct|1
ben/[1,2]|verb|hd/mod|er/[0,1]|adv|1
ben/[1,2]|verb|hd/predc|vervelend/[4,5]|adj|1
ben/[1,2]|verb|hd/su|niets/[2,3]|noun|1
lust/[8,9]|verb|hd/det|het/[6,7]|det|1
lust/[8,9]|verb|hd/mod|niet/[7,8]|adv|1
lust/[8,9]|verb|hd/mod|van/[9,10]|prep|1
top/top|top|top/hd|ben/[1,2]|verb|1
van/[9,10]|prep|hd/obj1|koffie/[10,11]|noun|1
vervelend/[4,5]|adj|hd/mod|zo/[3,4]|adv|1
zo/[3,4]|adv|hd/obcomp|als/[5,6]|comparative|1
als/[0,1]|comp|cmp/body|thee_drinker/[1,2]|noun|1
en/[4,5]|vg|crd/cnj|hart/[3,4]|noun|1
en/[4,5]|vg|crd/cnj|nier/[5,6]|noun|1
en/[16,17]|vg|crd/cnj|sla_af/[15,16]|verb|1
en/[16,17]|vg|crd/cnj|vraag/[17,18]|verb|1
in/[2,3]|prep|hd/obj1|en/[4,5]|vg|1
kan/[24,25]|verb|hd/su|ik/[19,20]|pron|1
kan/[24,25]|verb|hd/vc|krijg/[25,26]|verb|1
kom/[11,12]|verb|hd/ld|waar/[9,10]|adv|1
kom/[11,12]|verb|hd/su|ik/[10,11]|pron|1
kop_DIM/[13,14]|noun|hd/det|een/[12,13]|det|1
kop_DIM/[13,14]|noun|hd/mod|koffie/[14,15]|noun|1
krijg/[25,26]|verb|hd/mod|mogelijk/[20,21]|adj|1
krijg/[25,26]|verb|hd/mod|ook/[21,22]|adv|1
krijg/[25,26]|verb|hd/obj1|thee/[22,23]|noun|1
krijg/[25,26]|verb|hd/su|ik/[19,20]|pron|1
moet/[6,7]|verb|-- / --|./[26,27]|punct|1
moet/[6,7]|verb|hd/predm|als/[0,1]|comp|1
moet/[6,7]|verb|hd/su|ik/[7,8]|pron|1
moet/[6,7]|verb|hd/vc|en/[16,17]|vg|1
of/[18,19]|comp|cmp/body|zal/[23,24]|verb|1
sla_af/[15,16]|verb|hd/ld|overal/[8,9]|adv|1
