PROPNAME,/[4,5]|name|hd/det|de/[3,4]|det|1
begeef/[11,12]|verb|hd/obj1|het/[9,10]|noun|1
begeef/[11,12]|verb|hd/su|gsm/[8,9]|noun|1
gsm/[8,9]|noun|hd/det|mijn/[6,7]|det|1
gsm/[8,9]|noun|hd/mod|ander/[7,8]|adj|1
heb/[10,11]|verb|hd/su|gsm/[8,9]|noun|1
heb/[10,11]|verb|hd/vc|begeef/[11,12]|verb|1
koop/[1,2]|verb|-- / --|./[12,13]|punct|1
koop/[1,2]|verb|hd/mod|omdat/[5,6]|comp|1
koop/[1,2]|verb|hd/mod|onlangs/[0,1]|adv|1
koop/[1,2]|verb|hd/obj1|PROPNAME,/[4,5]|name|1
koop/[1,2]|verb|hd/su|ik/[2,3]|pron|1
omdat/[5,6]|comp|cmp/body|heb/[10,11]|verb|1
top/top|top|top/hd|koop/[1,2]|verb|1
ben/[10,11]|verb|hd/mod|echt/[13,14]|adj|1
ben/[10,11]|verb|hd/mod|nu/[9,10]|adv|1
ben/[10,11]|verb|hd/mod|ook/[12,13]|adv|1
ben/[10,11]|verb|hd/predc|tijd/[14,15]|noun|1
ben/[10,11]|verb|hd/su|het/[11,12]|det|1
en/[8,9]|vg|-- / --|./[18,19]|punct|1
en/[8,9]|vg|crd/cnj|ben/[10,11]|verb|1
en/[8,9]|vg|crd/cnj|heb/[1,2]|verb|1
heb/[1,2]|verb|hd/mod|lang/[3,4]|adj|1
heb/[1,2]|verb|hd/obj1|probleem/[4,5]|noun|1
heb/[1,2]|verb|hd/pc|met/[5,6]|prep|1
heb/[1,2]|verb|hd/su|hij/[0,1]|pron|1
lang/[3,4]|adj|hd/mod|al/[2,3]|adv|1
met/[5,6]|prep|hd/obj1|opslag_ruimte/[7,8]|noun|1
nieuw/[17,18]|adj|hd/det|een/[16,17]|det|1
opslag_ruimte/[7,8]|noun|hd/det|de/[6,7]|det|1
tijd/[14,15]|noun|hd/mod|voor/[15,16]|prep|1
top/top|top|top/hd|en/[8,9]|vg|1
voor/[15,16]|prep|hd/obj1|nieuw/[17,18]|adj|1
beloof/[9,10]|verb|hd/mod|extra/[6,7]|adj|1
beloof/[9,10]|verb|hd/obj1|opslag_ruimte/[8,9]|noun|1
beloof/[9,10]|verb|hd/su|hij/[5,6]|pron|1
en/[10,11]|vg|crd/cnj|beloof/[9,10]|verb|1
en/[10,11]|vg|crd/cnj|kan/[14,15]|verb|1
gebruik/[15,16]|verb|hd/mod|goed/[13,14]|adj|1
gebruik/[15,16]|verb|hd/obj1|dit/[12,13]|det|1
gebruik/[15,16]|verb|hd/pc|voor/[18,19]|prep|1
gebruik/[15,16]|verb|hd/su|ik/[11,12]|pron|1
kan/[14,15]|verb|hd/su|ik/[11,12]|pron|1
kan/[14,15]|verb|hd/vc|gebruik/[15,16]|verb|1
koop/[1,2]|verb|-- / --|./[20,21]|punct|1
koop/[1,2]|verb|hd/mod|omdat/[4,5]|comp|1
koop/[1,2]|verb|hd/obj1|propname/[3,4]|noun|1
koop/[1,2]|verb|hd/su|ik/[0,1]|pron|1
