PROPNAME eten,/[9,11]|name|hd/det|de/[8,9]|det|1
als/[0,1]|comp|cmp/body|puber/[1,2]|noun|1
dag/[13,14]|noun|hd/det|een/[12,13]|det|1
ga/[2,3]|verb|-- / --|./[20,21]|punct|1
ga/[2,3]|verb|dp/dp|te/[17,18]|comp|1
ga/[2,3]|verb|hd/ld|in/[7,8]|prep|1
ga/[2,3]|verb|hd/mod|met/[5,6]|prep|1
ga/[2,3]|verb|hd/mod|regelmatig/[4,5]|adj|1
ga/[2,3]|verb|hd/predm|als/[0,1]|comp|1
ga/[2,3]|verb|hd/su|ik/[3,4]|pron|1
hang_rond/[19,20]|verb|hd/ld|in/[14,15]|prep|1
hang_rond/[19,20]|verb|hd/mod|na/[11,12]|prep|1
heb/[18,19]|verb|hd/vc|hang_rond/[19,20]|verb|1
in/[7,8]|prep|hd/obj1|PROPNAME eten,/[9,11]|name|1
in/[14,15]|prep|hd/obj1|stad/[16,17]|noun|1
met/[5,6]|prep|hd/obj1|vriend/[6,7]|noun|1
na/[11,12]|prep|hd/obj1|dag/[13,14]|noun|1
stad/[16,17]|noun|hd/det|de/[15,16]|det|1
te/[17,18]|comp|cmp/body|heb/[18,19]|verb|1
top/top|top|top/hd|ga/[2,3]|verb|1
doe/[1,2]|verb|hd/obj1|het/[2,3]|det|1
doe/[1,2]|verb|hd/su|iedereen/[0,1]|pron|1
dus/[3,4]|vg|-- / --|? /[9,10]|punct|1
dus/[3,4]|vg|crd/cnj|doe/[1,2]|verb|1
dus/[3,4]|vg|crd/cnj|waarom/[4,5]|pp|1
ga_mee/[8,9]|verb|hd/mod|niet/[7,8]|adv|1
ga_mee/[8,9]|verb|hd/mod|waarom/[4,5]|pp|1
ga_mee/[8,9]|verb|hd/su|ik/[6,7]|pron|1
top/top|top|top/hd|dus/[3,4]|vg|1
waarom/[4,5]|pp|whd/body|zal/[5,6]|verb|1
zal/[5,6]|verb|hd/su|ik/[6,7]|pron|1
zal/[5,6]|verb|hd/vc|ga_mee/[8,9]|verb|1
bekoor/[8,9]|verb|hd/mod|echt/[6,7]|adj|1
bekoor/[8,9]|verb|hd/obj1|mij/[4,5]|pron|1
bekoor/[8,9]|verb|hd/su|het/[3,4]|det|1
ben/[11,12]|verb|hd/su|ik/[12,13]|pron|1
ben/[11,12]|verb|hd/vc|te/[19,20]|comp|1
maar/[9,10]|vg|-- / --|./[21,22]|punct|1
maar/[9,10]|vg|crd/cnj|ben/[11,12]|verb|1
maar/[9,10]|vg|crd/cnj|weet/[2,3]|verb|1
niet/[15,16]|adv|hd/mod|helemaal/[14,15]|adv|1
niet/[15,16]|adv|hd/mod|meer/[16,17]|adv|1
over/[17,18]|prep|hd/obj1|er/[13,14]|adv|1
spreek_aan/[20,21]|verb|hd/mod|niet/[15,16]|adv|1
spreek_aan/[20,21]|verb|hd/mod|nu/[10,11]|adv|1
spreek_aan/[20,21]|verb|hd/obj1|ik/[12,13]|pron|1
spreek_aan/[20,21]|verb|hd/pc|over/[17,18]|prep|1
spreek_aan/[20,21]|verb|hd/svp|aan/[18,19]|part|1
te/[7,8]|comp|cmp/body|bekoor/[8,9]|verb|1
te/[19,20]|comp|cmp/body|spreek_aan/[20,21]|verb|1
toen/[0,1]|adv|hd/mod|al/[1,2]|adv|1
top/top|top|top/hd|maar/[9,10]|vg|1
weet/[2,3]|verb|hd/mod|niet/[5,6]|adv|1
weet/[2,3]|verb|hd/mod|toen/[0,1]|adv|1
